NO.,문제,정답
30,출처가 불분명한 링크를 클릭하고 지갑을 연결하는 것은 안전하다.,X
31,HTTPS가 없는 웹사이트에서도 안전하게 Web3 서비스를 사용할 수 있다.,X
32,MetaMask의 시드 구문은 누구와 공유해도 안전하다.,X
33,시드 구문을 안전하게 저장하려면 클라우드에 업로드하는 것이 가장 좋다.,X
34,트랜잭션이 실패하면 가스비를 환불받을 수 있다.,X
35,NFT 민팅을 할 때는 스마트 컨트랙트의 내용을 검토해야 한다.,O
36,Revoke를 실행하면 내 지갑의 보안이 강화될 수 있다.,O
37,스마트 컨트랙트 배포 후에도 개발자가 코드 일부를 수정할 수 있다.,X
38,블록체인 네트워크에서는 수수료(Gas Fee)를 지불해야 트랜잭션이 처리된다.,O
39,출처가 불분명한 NFT를 무료로 받을 경우 위험할 수 있다.,O
40,트위터에서 받은 DM의 링크는 공식 계정이라면 안전하게 클릭할 수 있다.,X
41,Revoke는 모든 블록체인 네트워크에서 동일한 방식으로 동작한다.,X
42,"스마트 컨트랙트의 코드에 취약점이 있을 경우, 해커가 이를 악용할 수 있다.",O
43,하드웨어 지갑은 인터넷 없이도 안전하게 자산을 보관할 수 있다.,O
44,웹사이트에서 지갑을 연결할 때 무조건 승인 버튼을 눌러야 한다.,X
45,거래를 승인하기 전에 스마트 컨트랙트 내용을 확인하는 것이 중요하다.,O
46,공식 사이트가 아닌 곳에서 다운로드한 MetaMask도 안전하다.,X
47,트랜잭션을 승인하면 되돌릴 수 없다.,O
48,하드웨어 지갑을 사용하면 해킹 위험이 완전히 사라진다.,X
49,스마트 컨트랙트를 통해 자동으로 실행되는 거래는 항상 안전하다.,X
50,피싱 사이트는 항상 팝업 광고를 통해 사용자를 유도한다.,X
51,블록체인의 데이터는 누구나 확인할 수 있다.,O
52,블록체인 노드는 데이터를 저장하고 검증하는 역할을 한다.,O
53,모든 블록체인은 퍼블릭 블록체인이다.,X
54,블록체인에서 데이터가 삭제될 수도 있다.,X
55,Web3는 탈중앙화와 자율성을 기반으로 한 인터넷 개념이다.,O
56,블록체인은 중앙 서버에서 데이터를 관리한다.,X
57,블록체인에서는 트랜잭션이 승인되기 전까지 변경이 가능하다.,X
58,블록체인에서 해시 함수는 데이터 무결성을 보장하는 역할을 한다.,O
59,블록체인은 익명성이 완벽히 보장되는 기술이다.,X
60,퍼블릭 블록체인은 누구나 참여할 수 있다.,O
61,블록체인 트랜잭션을 처리하는 데 네트워크 수수료가 필요하다.,O
62,블록체인에서는 모든 거래가 승인 후 즉시 처리된다.,X
63,"블록체인 주소는 공개되지만, 소유자의 신원은 항상 알 수 없다.",O
64,블록체인 네트워크에서는 한 번 생성된 블록을 변경할 수 있다.,X
65,블록체인 기술은 금융뿐만 아니라 다양한 산업에 활용될 수 있다.,O
66,비트코인은 블록체인을 활용한 최초의 암호화폐이다.,O
67,블록체인 기술을 활용하면 중앙 기관 없이도 신뢰를 확보할 수 있다.,O
68,블록체인 기반 서비스는 항상 무료로 운영된다.,X
69,모든 블록체인 네트워크는 동일한 합의 알고리즘을 사용한다.,X
70,블록체인은 데이터의 위변조가 어렵지만 불가능한 것은 아니다.,O
71,스마트 컨트랙트는 사람이 직접 실행해야 작동한다.,X
72,스마트 컨트랙트는 배포 후에도 코드를 변경할 수 있다.,X
73,"스마트 컨트랙트는 자동으로 실행되며, 중간 개입이 필요 없다.",O
74,스마트 컨트랙트가 잘못 설계되면 해킹 위험이 있다.,O
75,스마트 컨트랙트를 배포하면 중앙 기관이 관리한다.,X
76,스마트 컨트랙트에는 코드 감사를 거쳐야 보안이 강화된다.,O
77,Revoke 기능을 사용하면 승인한 스마트 컨트랙트의 권한을 취소할 수 있다.,O
78,승인된 스마트 컨트랙트는 내 자산을 무제한으로 사용할 수도 있다.,O
79,스마트 컨트랙트의 코드는 누구나 열람할 수 있다.,O
80,스마트 컨트랙트는 블록체인 위에서 자동으로 실행되는 프로그램이다.,O
81,DeFi(탈중앙화 금융)에서는 은행 계좌 없이도 자산을 운용할 수 있다.,O
82,모든 스마트 컨트랙트는 보안 감사가 완료된 후 배포된다.,X
83,트랜잭션이 승인되면 되돌릴 수 있다.,X
84,블록체인 트랜잭션은 실행 전 시뮬레이션할 수 있다.,O
85,블록체인 지갑은 항상 암호화되어 저장된다.,O
86,블록체인 지갑의 프라이빗 키를 잃어버리면 복구가 가능하다.,X
87,블록체인에서는 동일한 주소라도 네트워크에 따라 다르게 작동할 수 있다.,O
88,블록체인 트랜잭션을 보내면 네트워크 상태에 따라 지연될 수 있다.,O
89,블록체인 지갑을 연결하면 내 자산이 자동으로 전송될 수 있다.,X
90,시드 구문을 안전하게 보관하려면 인터넷이 연결되지 않은 곳에 저장해야 한다.,O
91,NFT는 변조할 수 없는 블록체인 기술을 기반으로 한다.,O
92,NFT를 구매하면 자동으로 저작권을 소유하게 된다.,X
93,NFT는 디지털 아트만을 위한 기술이다.,X
94,NFT는 한 번 생성되면 변경할 수 없다.,O
95,NFT의 소유권 정보는 블록체인에 저장된다.,O
96,NFT 거래에는 가스비가 필요할 수도 있다.,O
97,NFT는 특정 마켓플레이스에서만 거래할 수 있다.,X
98,NFT는 실제 자산과 연결될 수도 있다.,O
99,NFT를 거래하면 블록체인에 거래 내역이 남는다.,O
100,NFT 프로젝트는 항상 장기적으로 운영된다.,X
101,NFT 마켓플레이스는 중앙 기관이 운영하는 경우가 많다.,O
102,NFT를 구매한 후에도 해당 NFT를 웹사이트에서 숨길 수 있다.,O
103,NFT 프로젝트는 Rug Pull(먹튀) 위험이 존재할 수 있다.,O
104,NFT 민팅을 하기 전 스마트 컨트랙트 내용을 검토하는 것이 중요하다.,O
105,NFT는 무조건 희소성이 있어야 한다.,X
106,"NFT는 게임, 음악, 부동산 등 다양한 분야에서 활용될 수 있다.",O
107,NFT가 블록체인에서 영구적으로 보관된다고 해서 해당 데이터도 항상 유지되는 것은 아니다.,O
108,NFT를 전송하면 트랜잭션 기록이 블록체인에 저장된다.,O
109,NFT의 메타데이터는 일부 변경이 가능할 수도 있다.,O
110,NFT 컬렉션의 희소성은 가격에 영향을 줄 수 있다.,O
111,Web3는 기존 Web2 서비스보다 항상 더 빠르고 효율적이다.,X
112,Web3에서는 개인이 데이터를 완전히 소유하고 관리할 수 있다.,O
113,Web3는 모든 서비스를 무료로 제공한다.,X
114,Web3 기반 서비스는 항상 블록체인을 필요로 한다.,X
115,탈중앙화 애플리케이션(DApp)은 블록체인 스마트 컨트랙트를 이용한다.,O
116,Web3에서는 개인이 로그인할 때 중앙 서버에 의존하지 않는다.,O
117,Web3 ID는 이메일 주소 대신 블록체인 주소를 활용할 수 있다.,O
118,Web3에서는 모든 트랜잭션이 공개적으로 기록된다.,O
119,Web3에서는 검열이 불가능한 시스템을 구축할 수 있다.,O
120,Web3 서비스는 전통적인 은행보다 항상 더 안전하다.,X
121,Web3 브라우저는 기존 웹사이트를 지원하지 않는다.,X
122,Web3 지갑을 연결하면 모든 DApp에서 동일한 계정을 사용할 수 있다.,O
123,Web3는 중앙화된 데이터베이스보다 보안성이 항상 뛰어나다.,X
124,Web3에서는 중앙 기관 없이 글로벌 결제가 가능하다.,O
125,탈중앙화 클라우드는 Web3의 주요 개념 중 하나이다.,O
126,Web3에서는 광고 없이 서비스가 운영될 수 있다.,O
127,Web3 기반 스토리지 서비스는 블록체인에 모든 데이터를 저장한다.,X
128,Web3에서는 소셜 미디어도 탈중앙화될 수 있다.,O
129,Web3 프로젝트는 반드시 DAO(탈중앙화 자율 조직) 방식으로 운영해야 한다.,X
130,Web3에서는 사용자가 직접 데이터를 수익화할 수 있는 기회가 많다.,O
131,크로스체인은 서로 다른 블록체인 네트워크를 연결하는 기술이다.,O
132,크로스체인 브릿지를 사용하면 가스비 없이 자산을 이동할 수 있다.,X
133,크로스체인 트랜잭션은 네트워크 간 전송이므로 항상 빠르다.,X
134,크로스체인 브릿지는 보안 취약점이 발생할 가능성이 있다.,O
135,레이어2 솔루션은 블록체인의 확장성을 높이는 기술이다.,O
136,레이어2 솔루션은 블록체인 메인넷과 완전히 독립적으로 작동한다.,X
137,레이어2 솔루션을 사용하면 트랜잭션 속도를 향상시킬 수 있다.,O
138,플라즈마(Plasma)는 대표적인 레이어2 솔루션 중 하나이다.,O
139,레이어2 솔루션은 항상 이더리움 네트워크에서만 사용된다.,X
140,롤업(Rollup)은 트랜잭션을 묶어 처리하는 방식이다.,O
141,ZK-Rollup은 트랜잭션을 압축하여 빠르게 처리하는 기술이다.,O
142,옵티미스틱 롤업은 트랜잭션을 처리한 후 일정 기간 동안 검증을 기다린다.,O
143,크로스체인 브릿지를 사용하면 서로 다른 블록체인의 자산을 직접 교환할 수 있다.,X
144,크로스체인 거래는 특정 중앙화 기관이 승인해야 한다.,X
145,크로스체인 기술은 DeFi에서 매우 중요한 역할을 한다.,O
146,블록체인 간 상호운용성을 높이면 Web3 서비스의 유연성이 증가한다.,O
147,크로스체인 스마트 컨트랙트는 한 블록체인에서만 작동한다.,X
148,크로스체인 기술은 NFT에도 적용될 수 있다.,O
149,크로스체인 브릿지는 항상 신뢰할 수 있는 방식으로 운영된다.,X
150,크로스체인 기술은 미래 블록체인 산업에서 필수적인 요소가 될 가능성이 높다.,O
151,DAO는 스마트 컨트랙트를 기반으로 운영되는 조직이다.,O
152,DAO는 중앙 관리자가 필요하다.,X
153,DAO의 결정은 참여자들의 투표를 통해 이루어진다.,O
154,DAO는 기존 회사보다 운영 속도가 항상 빠르다.,X
155,DAO에서는 거버넌스 토큰을 사용하여 의사 결정을 내릴 수 있다.,O
156,모든 DAO는 이더리움 네트워크에서만 운영된다.,X
157,DAO의 거버넌스 구조는 항상 민주적으로 운영된다.,X
158,DAO 투표는 블록체인 상에서 기록된다.,O
159,DAO는 스마트 컨트랙트 코드 변경 없이 운영될 수 있다.,X
160,DAO의 참여자는 누구나 제안할 수 있다.,O
161,메타버스는 Web3와 밀접한 관련이 있다.,O
162,메타버스는 가상 현실(VR) 없이도 구현될 수 있다.,O
163,블록체인 기반 메타버스에서는 NFT를 이용한 자산 소유가 가능하다.,O
164,메타버스에서는 모든 데이터가 중앙 서버에 저장된다.,X
165,메타버스에서 사용되는 토큰은 실제 가치를 가질 수도 있다.,O
166,메타버스 플랫폼은 기존 소셜 미디어보다 더 높은 자유도를 제공할 수 있다.,O
167,모든 메타버스는 동일한 블록체인 네트워크에서 운영된다.,X
168,메타버스는 게임과 엔터테인먼트 분야에서만 활용된다.,X
169,블록체인 기반 메타버스에서는 탈중앙화 금융(DeFi)도 접목될 수 있다.,O
170,메타버스의 발전은 Web3 기술의 확산과 밀접한 관계가 있다.,O
171,CBDC(중앙은행 디지털 화폐)는 블록체인 기술을 활용할 수 있다.,O
172,CBDC는 기존 암호화폐와 동일한 방식으로 운영된다.,X
173,비트코인은 스마트 컨트랙트를 실행할 수 있다.,X
174,솔라나(Solana)는 높은 트랜잭션 속도를 제공하는 블록체인이다.,O
175,Polkadot은 크로스체인을 위한 블록체인 프로젝트이다.,O
176,비트코인은 100% 익명성을 제공한다.,X
177,블록체인 보안 사고의 대부분은 스마트 컨트랙트 취약점 때문이다.,O
178,Layer 0은 블록체인 네트워크 간의 연결성을 담당하는 계층이다.,O
179,NFT 피싱 사기는 존재하지 않는다.,X
180,비트코인은 화폐 공급량이 무제한이다.,X
181,이더리움의 전환된 합의 알고리즘은 Proof of Stake(PoS)이다.,O
182,스마트 컨트랙트 코드에 오류가 있으면 되돌릴 수 없다.,O
183,"비트코인의 총 공급량은 2,100만 개로 제한되어 있다.",O
184,51% 공격이란 네트워크의 과반수를 장악하여 트랜잭션을 조작하는 것이다.,O
185,NFT는 반드시 중앙 서버에 저장되어야 한다.,X
186,블록체인에서는 이중 지불(double spending)이 발생할 수 없다.,O
187,하드웨어 지갑은 온라인 상태에서도 안전하게 사용할 수 있다.,X
188,Etherscan과 같은 블록체인 탐색기를 사용하면 트랜잭션을 추적할 수 있다.,O
189,블록체인 기술은 게임 산업에서도 활용되고 있다.,O
190,Web3에서는 P2E(Play to Earn) 모델이 가능하다.,O
191,블록체인 네트워크가 다운되면 자산도 영구적으로 사라진다.,X
192,DAO(탈중앙화 자율 조직)의 의사 결정은 모두 자동화되어 있다.,X
193,NFT를 민팅할 때마다 새로운 블록이 생성된다.,X
194,블록체인에서는 프라이빗 키를 복구할 수 있는 방법이 존재한다.,X
195,레이어2 솔루션을 사용하면 이더리움 네트워크의 가스비를 절감할 수 있다.,O
196,NFT는 크로스체인 거래가 가능하다.,O
197,블록체인 주소는 숫자와 문자로 이루어진 고유한 식별자이다.,O
198,블록체인의 탈중앙화는 모든 보안 문제를 해결할 수 있다.,X
199,미래에는 Web3 기술이 Web2를 완전히 대체할 가능성이 있다.,O
200,프랑스의 수도는 파리이다.,O
201,독일의 수도는 베를린이다.,O
202,이탈리아의 수도는 마드리드이다.,X
203,스페인의 수도는 바르셀로나이다.,X
204,영국의 수도는 런던이다.,O
205,네덜란드의 수도는 암스테르담이다.,O
206,벨기에의 수도는 브뤼셀이다.,O
207,포르투갈의 수도는 리스본이다.,O
208,스위스의 수도는 취리히이다.,X
209,덴마크의 수도는 오슬로이다.,X
210,노르웨이의 수도는 헬싱키이다.,X
211,스웨덴의 수도는 스톡홀름이다.,O
212,핀란드의 수도는 코펜하겐이다.,X
213,아이슬란드의 수도는 레이캬비크이다.,O
214,러시아의 수도는 상트페테르부르크이다.,X
215,폴란드의 수도는 바르샤바이다.,O
216,체코의 수도는 프라하이다.,O
217,오스트리아의 수도는 비엔나이다.,O
218,헝가리의 수도는 부다페스트이다.,O
219,그리스의 수도는 아테네이다.,O
220,터키의 수도는 이스탄불이다.,X
221,이집트의 수도는 카이로이다.,O
222,남아프리카공화국의 수도는 케이프타운이다.,X
223,나이지리아의 수도는 아부자이다.,O
224,케냐의 수도는 나이로비이다.,O
225,브라질의 수도는 리우데자네이루이다.,X
226,아르헨티나의 수도는 부에노스아이레스이다.,O
227,칠레의 수도는 산티아고이다.,O
228,캐나다의 수도는 토론토이다.,X
229,멕시코의 수도는 멕시코시티이다.,O
230,미국의 수도는 뉴욕이다.,X
231,호주의 수도는 시드니이다.,X
232,뉴질랜드의 수도는 웰링턴이다.,O
233,중국의 수도는 베이징이다.,O
234,일본의 수도는 오사카이다.,X
235,대한민국의 수도는 서울이다.,O
236,북한의 수도는 평양이다.,O
237,인도의 수도는 뉴델리이다.,O
238,파키스탄의 수도는 카라치이다.,X
239,태국의 수도는 방콕이다.,O
240,베트남의 수도는 호찌민이다.,X
241,필리핀의 수도는 마닐라이다.,O
242,인도네시아의 수도는 자카르타이다.,O
243,말레이시아의 수도는 쿠알라룸푸르이다.,O
244,사우디아라비아의 수도는 리야드이다.,O
245,이란의 수도는 테헤란이다.,O
246,이라크의 수도는 바그다드이다.,O
247,이스라엘의 수도는 텔아비브이다.,X
248,카자흐스탄의 수도는 아스타나(누르술탄)이다.,O
249,몽골의 수도는 울란바토르이다.,O
